,cue_type,condition_type,target_location,cue_direction,cond_type,random_order,fixation_dur,cB_version
0,interest_CJ,congruent,right,right,1,23,2.387782603,1
1,interest_CJ,congruent,right,right,1,13,5.312887924,1
2,interest_CJ,neutral,left,neutral,3,36,3.353452164,1
3,interest_CJ,congruent,right,right,1,1,0.569407093,1
4,interest_CJ,congruent,right,right,1,15,3.888399428,1
5,interest_CJ,neutral,left,neutral,3,32,1.157845523,1
6,interest_CJ,congruent,left,left,1,2,2.10324516,1
7,interest_CJ,congruent,right,right,1,11,2.035151923,1
8,interest_CJ,neutral,right,neutral,3,39,1.553167599,1
9,interest_CJ,congruent,right,right,1,7,1.184446619,1
10,interest_CJ,incongruent,right,left,2,29,5.387040756,1
11,interest_CJ,incongruent,left,right,2,24,9.259011185,1
12,interest_CJ,congruent,left,left,1,8,1.105476957,1
13,interest_CJ,neutral,right,neutral,3,31,1.019291838,1
14,interest_CJ,congruent,right,right,1,17,1.313076996,1
15,interest_CJ,congruent,right,right,1,5,2.757702249,1
16,interest_CJ,incongruent,right,left,2,25,0.852336258,1
17,interest_CJ,congruent,left,left,1,16,0.81259922,1
18,interest_CJ,congruent,left,left,1,4,0.628503232,1
19,interest_CJ,neutral,right,neutral,3,37,8.843873845,1
20,interest_CJ,congruent,right,right,1,19,2.738568867,1
21,interest_CJ,congruent,left,left,1,10,2.229745404,1
22,interest_CJ,neutral,left,neutral,3,38,2.086975492,1
23,interest_CJ,congruent,right,right,1,3,1.701855964,1
24,interest_CJ,congruent,left,left,1,18,0.607287202,1
25,interest_CJ,congruent,left,left,1,0,12.17942731,1
26,interest_CJ,neutral,right,neutral,3,35,0.494992311,1
27,interest_CJ,neutral,left,neutral,3,34,3.086527062,1
28,interest_CJ,congruent,right,right,1,9,5.843873845,1
29,interest_CJ,incongruent,right,left,2,27,0.764060356,1
30,interest_CJ,neutral,right,neutral,3,33,0.31302263,1
31,interest_CJ,congruent,left,left,1,22,0.612585009,1
32,interest_CJ,congruent,left,left,1,6,5.329086522,1
33,interest_CJ,congruent,left,left,1,20,2.472111073,1
34,interest_CJ,incongruent,left,right,2,26,3.539555293,1
35,interest_CJ,neutral,left,neutral,3,30,7.011565078,1
36,interest_CJ,congruent,left,left,1,12,0.443747516,1
37,interest_CJ,congruent,right,right,1,21,1.688224583,1
38,interest_CJ,congruent,left,left,1,14,0.457564433,1
39,interest_CJ,incongruent,left,right,2,28,0.874525475,1
