,condition,block_order,block_number,cb_ver,fixation_onset,cue_direction,cue_onset,target_pos,target_onset,raw_key_response,key_rt,keypress,key_conversion,trial_type
0,arrow,1,1,1,2.779519914998673,left,4.661800115020014,left,4.878380133013707,1,1.6630264260456897,6.5421727080247365,left,congruent
1,arrow,1,1,1,7.394916315039154,neutral,11.51181831600843,left,11.728435631026514,,,,,neutral
2,arrow,1,1,1,14.245782973011956,left,19.812228163995314,left,20.028498586034402,,,,,congruent
3,arrow,1,1,1,22.545100313029252,right,23.812452232989017,left,24.028310531983152,,,,,incongruent
4,arrow,1,1,1,26.54614217299968,left,28.49920804001158,left,28.710938645002898,,,,,congruent
5,arrow,1,1,1,31.228239089017734,right,34.146019236010034,right,34.36166466202121,,,,,congruent
